frame_nbr,ball_pos_X,ball_pos_Y
122.0,1403.8064080335585,891.5280069305862
123.0,1399.4797993403986,897.1424901733518
124.0,1387.6512786827925,908.235751174615
125.0,1397.6324343254992,906.5881643483189
126.0,1397.6152325494943,906.6028293416936
127.0,1396.193040136689,908.4015047539142
128.0,1394.770847723884,910.2001801661348
129.0,1393.416892785052,911.996922061876
130.0,1394.1716793964297,911.4598497342434
131.0,1396.3334006118994,914.948771516559
132.0,1396.3434642191123,914.9390940266668
133.0,1396.017872850986,914.9325816385872
134.0,1395.4939933820551,915.2611895444322
135.0,1394.9701139131244,915.5897974502772
136.0,1394.4462344441938,915.9184053561222
137.0,1393.922354975263,916.2470132619671
138.0,1393.3984755063323,916.5756211678122
139.0,1392.8745960374015,916.9042290736571
140.0,1392.3507165684707,917.2328369795022
141.0,1391.82683709954,917.5614448853471
142.0,1391.3029576306094,917.8900527911921
143.0,1390.7790781616786,918.2186606970371
144.0,1390.2551986927479,918.5472686028821
145.0,1389.731319223817,918.8758765087272
146.0,1389.2074397548863,919.2044844145721
147.0,1388.6835602859555,919.5330923204172
148.0,1388.159680817025,919.8617002262621
149.0,1387.6358013480942,920.1903081321071
150.0,1387.1119218791634,920.5189160379521
151.0,1386.5880424102327,920.8475239437971
152.0,1386.064162941302,921.176131849642
153.0,1385.5402834723711,921.5047397554871
154.0,1385.0164040034406,921.833347661332
